time_sec,frame_idx,motion_score
0.0,0,0.0
1.0,30,38.8648
2.0,60,13.5295
3.0,90,12.6619
4.0,120,12.4894
5.0,150,18.7642
6.0,180,73.0865
6.99,210,76.2645
7.99,240,33.6996
8.99,270,26.6884
9.99,300,20.2424
10.99,330,26.4904
11.99,360,13.1186
12.99,390,13.2488
13.99,420,12.3811
14.99,450,9.3581
15.99,480,10.0985
16.99,510,9.403
17.99,540,7.8268
18.99,570,11.9343
19.98,600,13.4695
20.98,630,10.4782
21.98,660,6.7201
22.98,690,10.498
23.98,720,20.8595
24.98,750,37.8355
25.98,780,26.7912
26.98,810,70.3869
27.98,840,80.3716
28.98,870,63.8198
29.98,900,55.4598
30.98,930,45.8312
31.98,960,43.4906
32.97,990,28.1305
33.97,1020,44.8031
34.97,1050,54.5158
35.97,1080,50.4212
36.97,1110,50.4704
37.97,1140,39.5069
38.97,1170,36.3537
39.97,1200,59.8017
40.97,1230,49.2727
41.97,1260,67.3027
42.97,1290,72.2344
43.97,1320,46.7587
44.97,1350,40.6068
45.96,1380,38.8043
46.96,1410,41.2692
47.96,1440,44.5552
48.96,1470,42.7654
49.96,1500,42.8485
50.96,1530,47.3139
51.96,1560,57.3063
52.96,1590,40.6577
53.96,1620,38.8367
54.96,1650,38.5139
55.96,1680,35.4229
56.96,1710,46.0229
57.96,1740,41.2936
58.96,1770,35.071
59.95,1800,37.8774
60.95,1830,38.3639
61.95,1860,59.3458
62.95,1890,55.4447
63.95,1920,40.418
64.95,1950,47.7022
65.95,1980,49.5144
66.95,2010,54.1114
67.95,2040,62.7579
68.95,2070,25.7695
69.95,2100,26.686
70.95,2130,34.6166
71.95,2160,46.3317
72.94,2190,49.5691
73.94,2220,40.2321
74.94,2250,43.7203
75.94,2280,52.0866
76.94,2310,54.2547
77.94,2340,53.5536
78.94,2370,47.561
79.94,2400,49.9287
80.94,2430,49.2918
81.94,2460,64.5667
82.94,2490,69.0965
83.94,2520,74.8275
84.94,2550,63.1384
85.93,2580,51.3648
86.93,2610,70.9292
87.93,2640,37.3213
88.93,2670,67.5292
89.93,2700,63.2823
90.93,2730,52.6493
91.93,2760,46.1977
92.93,2790,37.3546
93.93,2820,33.5895
94.93,2850,70.8088
95.93,2880,64.5513
96.93,2910,44.8755
97.93,2940,64.211
98.92,2970,73.5186
99.92,3000,71.005
100.92,3030,36.1367
101.92,3060,45.7508
102.92,3090,44.9064
103.92,3120,44.6186
104.92,3150,78.9948
105.92,3180,64.0141
106.92,3210,38.4168
107.92,3240,65.5784
108.92,3270,65.6319
109.92,3300,45.8343
110.92,3330,32.3643
111.91,3360,64.8856
