time_sec,frame_idx,motion_score
0.0,0,0.0
1.0,30,64.3888
2.0,60,64.7395
3.0,90,62.03
4.0,120,62.9877
5.0,150,38.9987
6.0,180,13.1581
7.0,210,25.5018
8.0,240,38.7847
9.0,270,57.073
10.0,300,55.1388
11.0,330,42.8161
12.0,360,34.6887
13.0,390,28.6319
14.0,420,23.8211
15.0,450,36.54
16.0,480,38.9096
17.0,510,31.2368
18.0,540,20.4326
19.0,570,22.3991
20.0,600,26.2424
21.0,630,43.996
22.0,660,38.8024
23.0,690,31.4003
24.0,720,30.4955
25.0,750,31.1569
26.0,780,22.9554
27.0,810,36.5214
28.0,840,43.5844
29.0,870,36.366
30.0,900,24.4562
30.99,930,14.5844
31.99,960,36.5177
32.99,990,69.264
33.99,1020,63.1581
34.99,1050,50.8834
35.99,1080,50.6288
36.99,1110,43.1937
37.99,1140,27.2032
38.99,1170,36.8821
39.99,1200,37.662
40.99,1230,42.0293
41.99,1260,55.7718
42.99,1290,41.3597
43.99,1320,42.869
44.99,1350,26.914
45.99,1380,32.7185
46.99,1410,26.8573
47.99,1440,41.8068
48.99,1470,23.6288
49.99,1500,33.7938
50.99,1530,20.8986
51.99,1560,31.1163
52.99,1590,28.5955
53.99,1620,42.8522
54.99,1650,35.118
55.99,1680,18.9251
56.99,1710,23.813
57.99,1740,29.7424
58.99,1770,22.4438
59.99,1800,18.3823
60.99,1830,29.9714
61.99,1860,41.0186
62.99,1890,52.6552
63.99,1920,50.6893
64.99,1950,42.3462
65.99,1980,27.4493
66.99,2010,19.6402
67.99,2040,25.1262
68.99,2070,42.8914
69.99,2100,46.4924
70.99,2130,48.7283
71.99,2160,44.0348
72.99,2190,56.1676
73.99,2220,48.1123
74.99,2250,66.2037
75.99,2280,46.5578
76.99,2310,17.739
77.99,2340,17.1363
78.99,2370,43.5629
79.99,2400,63.8646
80.99,2430,52.4711
81.99,2460,56.7711
82.99,2490,55.9309
83.99,2520,47.0579
84.99,2550,46.4256
85.99,2580,72.3521
86.99,2610,61.7052
87.99,2640,47.3353
88.99,2670,49.8512
89.99,2700,67.3249
90.98,2730,41.7426
91.98,2760,57.4369
92.98,2790,38.1273
93.98,2820,44.5549
94.98,2850,73.3897
95.98,2880,65.4301
96.98,2910,66.3697
97.98,2940,68.1173
98.98,2970,43.0808
99.98,3000,69.379
100.98,3030,53.9198
101.98,3060,56.3414
102.98,3090,79.4817
103.98,3120,73.138
104.98,3150,51.4407
105.98,3180,82.8454
106.98,3210,45.0336
107.98,3240,59.9206
108.98,3270,34.486
