epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.116,1.66793,2.11847,1.63739,0.51438,0.41553,0.36737,0.19638,2.05954,2.90218,2.04733,0.000302181,0.000302181,0.000302181
2,158.024,1.81176,1.95488,1.77464,0.65334,0.45089,0.44629,0.23264,1.95728,2.7008,1.8771,0.00059919,0.00059919,0.00059919
3,234.679,1.74386,1.82614,1.72564,0.4217,0.58069,0.51599,0.24929,1.82428,2.41223,1.83183,0.000890199,0.000890199,0.000890199
4,311.528,1.70584,1.79884,1.70883,0.54335,0.4462,0.46405,0.2427,1.795,2.12815,1.76984,0.000882003,0.000882003,0.000882003
5,387.928,1.64931,1.67953,1.65961,0.70099,0.50653,0.56821,0.31145,1.7903,1.98631,1.7509,0.000873004,0.000873004,0.000873004
6,464.717,1.5821,1.60371,1.61563,0.67359,0.57742,0.63574,0.36608,1.60113,1.65898,1.59307,0.000864004,0.000864004,0.000864004
7,541.635,1.54468,1.56112,1.58071,0.64467,0.62524,0.63726,0.355,1.66508,1.57831,1.62567,0.000855005,0.000855005,0.000855005
8,618.131,1.53624,1.49617,1.56573,0.62349,0.64881,0.67869,0.40136,1.52519,1.39402,1.5416,0.000846006,0.000846006,0.000846006
9,695.108,1.48791,1.41872,1.53277,0.70478,0.66047,0.68623,0.40628,1.56586,1.35232,1.54648,0.000837007,0.000837007,0.000837007
10,772.097,1.45868,1.36275,1.51876,0.72899,0.63652,0.70377,0.42976,1.50864,1.29376,1.51579,0.000828008,0.000828008,0.000828008
11,849.184,1.42151,1.29149,1.48293,0.68963,0.69272,0.74367,0.44845,1.47099,1.24725,1.51885,0.000819009,0.000819009,0.000819009
12,926.287,1.41445,1.291,1.48075,0.73347,0.67953,0.73284,0.45158,1.4499,1.2098,1.48366,0.00081001,0.00081001,0.00081001
13,1003.37,1.40026,1.25991,1.45933,0.66929,0.6308,0.68378,0.43313,1.49385,1.28699,1.51612,0.000801011,0.000801011,0.000801011
