model,video_id,frame_idx,hallucination_count,boundary_case_count,has_hallucination
qwen3vl,CLIP1_normal_assembly,0,0,0,False
qwen3vl,CLIP1_normal_assembly,1,0,0,False
qwen3vl,CLIP1_normal_assembly,10,0,0,False
qwen3vl,CLIP1_normal_assembly,11,0,0,False
qwen3vl,CLIP1_normal_assembly,12,0,0,False
qwen3vl,CLIP1_normal_assembly,13,0,0,False
qwen3vl,CLIP1_normal_assembly,14,0,0,False
qwen3vl,CLIP1_normal_assembly,15,1,0,True
qwen3vl,CLIP1_normal_assembly,16,0,0,False
qwen3vl,CLIP1_normal_assembly,17,0,0,False
qwen3vl,CLIP1_normal_assembly,18,0,0,False
qwen3vl,CLIP1_normal_assembly,19,1,0,True
qwen3vl,CLIP1_normal_assembly,2,0,0,False
qwen3vl,CLIP1_normal_assembly,20,2,0,True
qwen3vl,CLIP1_normal_assembly,21,2,0,True
qwen3vl,CLIP1_normal_assembly,22,1,0,True
qwen3vl,CLIP1_normal_assembly,23,2,0,True
qwen3vl,CLIP1_normal_assembly,24,2,0,True
qwen3vl,CLIP1_normal_assembly,25,1,0,True
qwen3vl,CLIP1_normal_assembly,26,2,0,True
qwen3vl,CLIP1_normal_assembly,27,0,0,False
qwen3vl,CLIP1_normal_assembly,28,0,0,False
qwen3vl,CLIP1_normal_assembly,29,0,0,False
qwen3vl,CLIP1_normal_assembly,3,2,0,True
qwen3vl,CLIP1_normal_assembly,30,0,0,False
qwen3vl,CLIP1_normal_assembly,31,0,0,False
qwen3vl,CLIP1_normal_assembly,32,1,0,True
qwen3vl,CLIP1_normal_assembly,33,0,0,False
qwen3vl,CLIP1_normal_assembly,34,0,0,False
qwen3vl,CLIP1_normal_assembly,35,2,0,True
qwen3vl,CLIP1_normal_assembly,36,1,0,True
qwen3vl,CLIP1_normal_assembly,37,2,0,True
qwen3vl,CLIP1_normal_assembly,38,1,0,True
qwen3vl,CLIP1_normal_assembly,39,0,0,False
qwen3vl,CLIP1_normal_assembly,4,0,0,False
qwen3vl,CLIP1_normal_assembly,40,0,0,False
qwen3vl,CLIP1_normal_assembly,41,2,0,True
qwen3vl,CLIP1_normal_assembly,42,2,0,True
qwen3vl,CLIP1_normal_assembly,43,0,0,False
qwen3vl,CLIP1_normal_assembly,44,0,0,False
qwen3vl,CLIP1_normal_assembly,45,0,0,False
qwen3vl,CLIP1_normal_assembly,46,0,0,False
qwen3vl,CLIP1_normal_assembly,47,2,0,True
qwen3vl,CLIP1_normal_assembly,48,0,0,False
qwen3vl,CLIP1_normal_assembly,49,2,0,True
qwen3vl,CLIP1_normal_assembly,5,0,0,False
qwen3vl,CLIP1_normal_assembly,50,2,0,True
qwen3vl,CLIP1_normal_assembly,51,2,0,True
qwen3vl,CLIP1_normal_assembly,52,0,0,False
qwen3vl,CLIP1_normal_assembly,53,1,0,True
qwen3vl,CLIP1_normal_assembly,54,0,0,False
qwen3vl,CLIP1_normal_assembly,55,0,0,False
qwen3vl,CLIP1_normal_assembly,56,0,0,False
