model,video_id,frame_idx,inference_time_sec
qwen3vl,CLIP1_normal_assembly,0,17.26
qwen3vl,CLIP1_normal_assembly,1,29.56
qwen3vl,CLIP1_normal_assembly,10,16.86
qwen3vl,CLIP1_normal_assembly,11,23.41
qwen3vl,CLIP1_normal_assembly,12,19.34
qwen3vl,CLIP1_normal_assembly,13,18.09
qwen3vl,CLIP1_normal_assembly,14,18.02
qwen3vl,CLIP1_normal_assembly,15,24.73
qwen3vl,CLIP1_normal_assembly,16,23.87
qwen3vl,CLIP1_normal_assembly,17,28.81
qwen3vl,CLIP1_normal_assembly,18,30.69
qwen3vl,CLIP1_normal_assembly,19,20.21
qwen3vl,CLIP1_normal_assembly,2,33.51
qwen3vl,CLIP1_normal_assembly,20,21.56
qwen3vl,CLIP1_normal_assembly,21,19.54
qwen3vl,CLIP1_normal_assembly,22,21.2
qwen3vl,CLIP1_normal_assembly,23,20.17
qwen3vl,CLIP1_normal_assembly,24,20.04
qwen3vl,CLIP1_normal_assembly,25,26.26
qwen3vl,CLIP1_normal_assembly,26,22.59
qwen3vl,CLIP1_normal_assembly,27,19.02
qwen3vl,CLIP1_normal_assembly,28,26.03
qwen3vl,CLIP1_normal_assembly,29,19.33
qwen3vl,CLIP1_normal_assembly,3,37.6
qwen3vl,CLIP1_normal_assembly,30,25.3
qwen3vl,CLIP1_normal_assembly,31,23.13
qwen3vl,CLIP1_normal_assembly,32,19.55
qwen3vl,CLIP1_normal_assembly,33,18.92
qwen3vl,CLIP1_normal_assembly,34,15.73
qwen3vl,CLIP1_normal_assembly,35,21.49
qwen3vl,CLIP1_normal_assembly,36,25.71
qwen3vl,CLIP1_normal_assembly,37,20.97
qwen3vl,CLIP1_normal_assembly,38,29.85
qwen3vl,CLIP1_normal_assembly,39,22.25
qwen3vl,CLIP1_normal_assembly,4,19.05
qwen3vl,CLIP1_normal_assembly,40,19.79
qwen3vl,CLIP1_normal_assembly,41,22.05
qwen3vl,CLIP1_normal_assembly,42,19.62
qwen3vl,CLIP1_normal_assembly,43,22.19
qwen3vl,CLIP1_normal_assembly,44,22.29
qwen3vl,CLIP1_normal_assembly,45,20.46
qwen3vl,CLIP1_normal_assembly,46,19.75
qwen3vl,CLIP1_normal_assembly,47,21.86
qwen3vl,CLIP1_normal_assembly,48,29.02
qwen3vl,CLIP1_normal_assembly,49,28.72
qwen3vl,CLIP1_normal_assembly,5,24.06
qwen3vl,CLIP1_normal_assembly,50,22.49
qwen3vl,CLIP1_normal_assembly,51,22.33
qwen3vl,CLIP1_normal_assembly,52,19.69
qwen3vl,CLIP1_normal_assembly,53,19.75
qwen3vl,CLIP1_normal_assembly,54,18.49
qwen3vl,CLIP1_normal_assembly,55,22.25
qwen3vl,CLIP1_normal_assembly,56,21.8
qwen3vl,CLIP1_normal_assembly,57,20.4
qwen3vl,CLIP1_normal_assembly,58,20.44
qwen3vl,CLIP1_normal_assembly,59,20.25
qwen3vl,CLIP1_normal_assembly,6,16.0
qwen3vl,CLIP1_normal_assembly,60,30.88
qwen3vl,CLIP1_normal_assembly,61,24.21
qwen3vl,CLIP1_normal_assembly,62,24.97
qwen3vl,CLIP1_normal_assembly,63,25.71
qwen3vl,CLIP1_normal_assembly,64,20.31
qwen3vl,CLIP1_normal_assembly,65,20.49
qwen3vl,CLIP1_normal_assembly,66,19.53
qwen3vl,CLIP1_normal_assembly,67,22.23
qwen3vl,CLIP1_normal_assembly,68,24.03
qwen3vl,CLIP1_normal_assembly,69,24.96
qwen3vl,CLIP1_normal_assembly,7,18.93
qwen3vl,CLIP1_normal_assembly,70,24.96
qwen3vl,CLIP1_normal_assembly,71,20.58
qwen3vl,CLIP1_normal_assembly,72,19.86
qwen3vl,CLIP1_normal_assembly,73,19.28
qwen3vl,CLIP1_normal_assembly,74,19.37
qwen3vl,CLIP1_normal_assembly,75,19.4
qwen3vl,CLIP1_normal_assembly,76,20.63
qwen3vl,CLIP1_normal_assembly,77,19.57
qwen3vl,CLIP1_normal_assembly,78,20.26
qwen3vl,CLIP1_normal_assembly,79,20.35
qwen3vl,CLIP1_normal_assembly,8,18.71
qwen3vl,CLIP1_normal_assembly,80,15.95
qwen3vl,CLIP1_normal_assembly,81,22.09
qwen3vl,CLIP1_normal_assembly,82,27.79
qwen3vl,CLIP1_normal_assembly,83,28.58
qwen3vl,CLIP1_normal_assembly,84,21.97
qwen3vl,CLIP1_normal_assembly,85,16.91
qwen3vl,CLIP1_normal_assembly,86,21.51
qwen3vl,CLIP1_normal_assembly,87,20.56
qwen3vl,CLIP1_normal_assembly,88,21.59
qwen3vl,CLIP1_normal_assembly,89,22.39
qwen3vl,CLIP1_normal_assembly,9,16.31
qwen3vl,CLIP1_normal_assembly,90,18.1
qwen3vl,CLIP1_normal_assembly,91,21.26
qwen3vl,CLIP1_normal_assembly,92,20.3
qwen3vl,CLIP1_normal_assembly,93,20.17
qwen3vl,CLIP1_normal_assembly,94,20.34
qwen3vl,CLIP1_normal_assembly,95,21.42
qwen3vl,CLIP1_normal_assembly,96,20.51
qwen3vl,CLIP1_normal_assembly,97,20.94
qwen3vl,CLIP1_normal_assembly,98,21.81
qwen3vl,CLIP2_0704,0,22.51
qwen3vl,CLIP2_0704,1,27.88
qwen3vl,CLIP2_0704,10,26.16
qwen3vl,CLIP2_0704,11,22.03
qwen3vl,CLIP2_0704,12,16.81
qwen3vl,CLIP2_0704,13,24.65
qwen3vl,CLIP2_0704,14,21.37
qwen3vl,CLIP2_0704,15,21.56
qwen3vl,CLIP2_0704,16,20.26
qwen3vl,CLIP2_0704,17,20.1
qwen3vl,CLIP2_0704,18,20.41
qwen3vl,CLIP2_0704,19,19.44
qwen3vl,CLIP2_0704,2,17.22
qwen3vl,CLIP2_0704,20,20.21
qwen3vl,CLIP2_0704,21,20.59
qwen3vl,CLIP2_0704,22,20.12
qwen3vl,CLIP2_0704,23,21.47
qwen3vl,CLIP2_0704,24,20.18
qwen3vl,CLIP2_0704,25,17.78
qwen3vl,CLIP2_0704,26,20.05
qwen3vl,CLIP2_0704,27,18.95
qwen3vl,CLIP2_0704,28,21.32
qwen3vl,CLIP2_0704,29,21.67
qwen3vl,CLIP2_0704,3,19.26
qwen3vl,CLIP2_0704,30,21.66
qwen3vl,CLIP2_0704,31,20.81
qwen3vl,CLIP2_0704,32,18.26
qwen3vl,CLIP2_0704,33,21.63
qwen3vl,CLIP2_0704,34,24.16
qwen3vl,CLIP2_0704,35,28.35
qwen3vl,CLIP2_0704,36,22.91
qwen3vl,CLIP2_0704,37,17.04
qwen3vl,CLIP2_0704,38,27.59
qwen3vl,CLIP2_0704,39,21.61
qwen3vl,CLIP2_0704,4,22.29
qwen3vl,CLIP2_0704,40,19.95
qwen3vl,CLIP2_0704,41,22.38
qwen3vl,CLIP2_0704,42,25.44
qwen3vl,CLIP2_0704,43,24.63
qwen3vl,CLIP2_0704,44,21.74
qwen3vl,CLIP2_0704,45,28.37
qwen3vl,CLIP2_0704,46,21.75
qwen3vl,CLIP2_0704,47,21.56
qwen3vl,CLIP2_0704,48,20.91
qwen3vl,CLIP2_0704,49,18.85
qwen3vl,CLIP2_0704,5,19.16
qwen3vl,CLIP2_0704,50,18.23
qwen3vl,CLIP2_0704,51,18.2
qwen3vl,CLIP2_0704,52,18.58
qwen3vl,CLIP2_0704,53,18.81
qwen3vl,CLIP2_0704,54,19.99
qwen3vl,CLIP2_0704,55,18.29
qwen3vl,CLIP2_0704,56,21.41
qwen3vl,CLIP2_0704,6,21.49
qwen3vl,CLIP2_0704,7,21.45
qwen3vl,CLIP2_0704,8,28.73
qwen3vl,CLIP2_0704,9,21.73
qwen3vl,CLIP3_before_reboot_0704,0,23.86
qwen3vl,CLIP3_before_reboot_0704,1,18.41
qwen3vl,CLIP3_before_reboot_0704,10,17.94
qwen3vl,CLIP3_before_reboot_0704,11,19.6
qwen3vl,CLIP3_before_reboot_0704,12,19.11
qwen3vl,CLIP3_before_reboot_0704,13,18.28
qwen3vl,CLIP3_before_reboot_0704,14,18.26
qwen3vl,CLIP3_before_reboot_0704,15,18.27
qwen3vl,CLIP3_before_reboot_0704,16,18.26
qwen3vl,CLIP3_before_reboot_0704,17,19.22
qwen3vl,CLIP3_before_reboot_0704,18,19.54
qwen3vl,CLIP3_before_reboot_0704,19,19.45
qwen3vl,CLIP3_before_reboot_0704,2,19.55
qwen3vl,CLIP3_before_reboot_0704,20,20.11
qwen3vl,CLIP3_before_reboot_0704,21,19.42
qwen3vl,CLIP3_before_reboot_0704,22,20.57
qwen3vl,CLIP3_before_reboot_0704,23,19.69
qwen3vl,CLIP3_before_reboot_0704,24,19.34
qwen3vl,CLIP3_before_reboot_0704,25,20.19
qwen3vl,CLIP3_before_reboot_0704,26,19.35
qwen3vl,CLIP3_before_reboot_0704,27,19.03
qwen3vl,CLIP3_before_reboot_0704,28,19.31
qwen3vl,CLIP3_before_reboot_0704,29,18.96
qwen3vl,CLIP3_before_reboot_0704,3,19.42
qwen3vl,CLIP3_before_reboot_0704,30,20.11
qwen3vl,CLIP3_before_reboot_0704,31,18.88
qwen3vl,CLIP3_before_reboot_0704,32,19.88
qwen3vl,CLIP3_before_reboot_0704,33,19.7
qwen3vl,CLIP3_before_reboot_0704,34,19.75
qwen3vl,CLIP3_before_reboot_0704,35,24.08
qwen3vl,CLIP3_before_reboot_0704,36,20.52
qwen3vl,CLIP3_before_reboot_0704,37,19.84
qwen3vl,CLIP3_before_reboot_0704,38,19.35
qwen3vl,CLIP3_before_reboot_0704,39,19.38
qwen3vl,CLIP3_before_reboot_0704,4,18.89
qwen3vl,CLIP3_before_reboot_0704,40,19.54
qwen3vl,CLIP3_before_reboot_0704,41,18.87
qwen3vl,CLIP3_before_reboot_0704,42,19.85
qwen3vl,CLIP3_before_reboot_0704,43,20.34
qwen3vl,CLIP3_before_reboot_0704,44,20.34
qwen3vl,CLIP3_before_reboot_0704,45,21.32
qwen3vl,CLIP3_before_reboot_0704,46,20.27
qwen3vl,CLIP3_before_reboot_0704,47,20.21
qwen3vl,CLIP3_before_reboot_0704,48,19.49
qwen3vl,CLIP3_before_reboot_0704,49,21.63
qwen3vl,CLIP3_before_reboot_0704,5,19.09
qwen3vl,CLIP3_before_reboot_0704,50,18.05
qwen3vl,CLIP3_before_reboot_0704,51,21.09
qwen3vl,CLIP3_before_reboot_0704,52,21.89
qwen3vl,CLIP3_before_reboot_0704,53,21.06
qwen3vl,CLIP3_before_reboot_0704,54,20.12
qwen3vl,CLIP3_before_reboot_0704,6,19.95
qwen3vl,CLIP3_before_reboot_0704,7,18.28
qwen3vl,CLIP3_before_reboot_0704,8,18.78
qwen3vl,CLIP3_before_reboot_0704,9,19.45
qwen3vl,CLIP4_reboot_bios,0,20.7
qwen3vl,CLIP4_reboot_bios,1,21.67
qwen3vl,CLIP4_reboot_bios,10,20.0
qwen3vl,CLIP4_reboot_bios,100,25.87
qwen3vl,CLIP4_reboot_bios,101,21.32
qwen3vl,CLIP4_reboot_bios,102,20.53
qwen3vl,CLIP4_reboot_bios,103,19.99
qwen3vl,CLIP4_reboot_bios,104,17.21
qwen3vl,CLIP4_reboot_bios,105,18.86
qwen3vl,CLIP4_reboot_bios,106,18.4
qwen3vl,CLIP4_reboot_bios,107,19.33
qwen3vl,CLIP4_reboot_bios,108,20.14
qwen3vl,CLIP4_reboot_bios,109,23.6
qwen3vl,CLIP4_reboot_bios,11,17.23
qwen3vl,CLIP4_reboot_bios,110,26.2
qwen3vl,CLIP4_reboot_bios,111,20.82
qwen3vl,CLIP4_reboot_bios,112,28.66
qwen3vl,CLIP4_reboot_bios,113,18.52
qwen3vl,CLIP4_reboot_bios,114,20.64
qwen3vl,CLIP4_reboot_bios,12,17.24
qwen3vl,CLIP4_reboot_bios,13,17.24
qwen3vl,CLIP4_reboot_bios,14,20.67
qwen3vl,CLIP4_reboot_bios,15,20.98
qwen3vl,CLIP4_reboot_bios,16,20.84
qwen3vl,CLIP4_reboot_bios,17,21.48
qwen3vl,CLIP4_reboot_bios,18,26.69
qwen3vl,CLIP4_reboot_bios,19,20.99
qwen3vl,CLIP4_reboot_bios,2,30.79
qwen3vl,CLIP4_reboot_bios,20,20.49
qwen3vl,CLIP4_reboot_bios,21,22.0
qwen3vl,CLIP4_reboot_bios,22,21.46
qwen3vl,CLIP4_reboot_bios,23,21.0
qwen3vl,CLIP4_reboot_bios,24,20.95
qwen3vl,CLIP4_reboot_bios,25,20.97
qwen3vl,CLIP4_reboot_bios,26,21.9
qwen3vl,CLIP4_reboot_bios,27,24.07
qwen3vl,CLIP4_reboot_bios,28,17.89
qwen3vl,CLIP4_reboot_bios,29,20.15
qwen3vl,CLIP4_reboot_bios,3,31.97
qwen3vl,CLIP4_reboot_bios,30,30.78
qwen3vl,CLIP4_reboot_bios,31,20.0
qwen3vl,CLIP4_reboot_bios,32,19.33
qwen3vl,CLIP4_reboot_bios,33,21.83
qwen3vl,CLIP4_reboot_bios,34,21.15
qwen3vl,CLIP4_reboot_bios,35,20.67
qwen3vl,CLIP4_reboot_bios,36,21.81
qwen3vl,CLIP4_reboot_bios,37,19.98
qwen3vl,CLIP4_reboot_bios,38,19.21
qwen3vl,CLIP4_reboot_bios,39,20.34
qwen3vl,CLIP4_reboot_bios,4,30.99
qwen3vl,CLIP4_reboot_bios,40,21.64
qwen3vl,CLIP4_reboot_bios,41,21.3
qwen3vl,CLIP4_reboot_bios,42,21.15
qwen3vl,CLIP4_reboot_bios,43,22.46
qwen3vl,CLIP4_reboot_bios,44,19.53
