model_key,model_label,clip,cer_mean,cer_std,wer_mean,wer_std,rtf_mean,rtf_std,n_repeats,substitutions,deletions,insertions,hits
faster_whisper_large_v3_turbo,Whisper large-v3-turbo,CLIP1,0.2148,0.0,0.25,0.0,0.0519,0.0082,3,8,0,0,24
faster_whisper_large_v3_turbo,Whisper large-v3-turbo,CLIP2,0.5859,0.0,0.8727,0.0,0.0422,0.0009,3,35,7,6,13
faster_whisper_large_v3_turbo,Whisper large-v3-turbo,CLIP3,0.1359,0.0,0.56,0.0,0.0524,0.0006,3,9,0,5,16
faster_whisper_large_v3_turbo,Whisper large-v3-turbo,CLIP4,0.0081,0.0,0.0357,0.0,0.0504,0.001,3,1,0,0,27
seamless_m4t_v2,"Seamless-M4T v2-Large (num_beams=5, repetition_penalty=1.3)",CLIP1,0.4296,0.0,0.5938,0.0,0.2969,0.035,3,13,5,1,14
seamless_m4t_v2,"Seamless-M4T v2-Large (num_beams=5, repetition_penalty=1.3)",CLIP2,0.6784,0.0,0.9636,0.0,0.2463,0.0028,3,30,15,8,10
seamless_m4t_v2,"Seamless-M4T v2-Large (num_beams=5, repetition_penalty=1.3)",CLIP3,0.2427,0.0,0.6,0.0,0.2947,0.0118,3,10,0,5,15
seamless_m4t_v2,"Seamless-M4T v2-Large (num_beams=5, repetition_penalty=1.3)",CLIP4,0.5447,0.0,0.5714,0.0,0.2081,0.0083,3,3,13,0,12
wav2vec2_xlsr_ko,Wav2Vec2-XLSR-Korean (CTC),CLIP1,0.437,0.0,0.7812,0.0,,,1,20,2,3,10
wav2vec2_xlsr_ko,Wav2Vec2-XLSR-Korean (CTC),CLIP2,0.6696,0.0,1.0,0.0,,,1,45,5,5,5
wav2vec2_xlsr_ko,Wav2Vec2-XLSR-Korean (CTC),CLIP3,0.301,0.0,0.68,0.0,,,1,13,0,4,12
wav2vec2_xlsr_ko,Wav2Vec2-XLSR-Korean (CTC),CLIP4,0.252,0.0,0.6786,0.0,,,1,16,1,2,11
