db,scale,insert_s,p50_ms,p95_ms,cold_start_s,qps
Chroma,100,2.49,2.43,2.57,2.087,409.4
Chroma,1000,3.15,2.97,2.99,2.078,340.7
Chroma,10000,17.84,3.97,4.1,2.116,252.4
FAISS,100,0.07,0.03,0.04,0.061,30055.7
FAISS,1000,0.08,0.23,0.24,0.066,4293.9
FAISS,10000,0.17,6.22,6.33,0.1,160.8
Qdrant(embedded),100,3.13,5.26,5.32,2.254,189.7
Qdrant(embedded),1000,10.43,6.8,6.91,2.646,146.7
Qdrant(embedded),10000,83.94,57.6,58.02,6.793,17.3
Chroma,100000,215.7,4.43,4.79,2.714,224.7
FAISS,100000,0.96,60.85,62.11,0.433,16.4
Qdrant(embedded),100000,830.72,534.66,539.35,49.281,1.9
